comparison,ref,query,variable,value
geneid_RS_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,intron_level_Pr,100.0
geneid_RS_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,intron_level_Pr,0.0
geneid_R_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,intron_level_Pr,71.4
geneid_R_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,intron_level_Pr,0.0
geneid_R_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,intron_level_Pr,100.0
geneid_RS_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,intron_level_Pr,83.3
geneid_R_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,intron_level_Pr,62.5
geneid_simple_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,intron_level_Pr,0.0
geneid_simple_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,intron_level_Pr,62.5
geneid_simple_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,intron_level_Pr,71.4
geneid_simple_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,intron_level_Pr,100.0
geneid_S_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,intronChain_level_Se,100.0
geneid_S_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,intronChain_level_Se,0.0
CNAC_ref_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,intronChain_level_Se,0.0
geneid_S_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,intronChain_level_Se,66.7
geneid_S_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,intronChain_level_Se,66.7
CNAC_ref_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,intronChain_level_Se,0.0
CNAC_ref_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,intronChain_level_Se,0.0
CNAC_ref_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,intronChain_level_Se,0.0
geneid_RS_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,intronChain_level_Se,57.1
geneid_RS_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,intronChain_level_Se,85.7
geneid_RS_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,intronChain_level_Se,0.0
geneid_R_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,intronChain_level_Se,80.0
geneid_R_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,intronChain_level_Se,0.0
geneid_R_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,intronChain_level_Se,100.0
geneid_RS_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,intronChain_level_Se,57.1
geneid_R_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,intronChain_level_Se,80.0
geneid_simple_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,intronChain_level_Se,0.0
geneid_simple_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,intronChain_level_Se,80.0
geneid_simple_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,intronChain_level_Se,80.0
geneid_simple_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,intronChain_level_Se,100.0
geneid_S_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,intronChain_level_Pr,85.7
geneid_S_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,intronChain_level_Pr,0.0
CNAC_ref_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,intronChain_level_Pr,0.0
geneid_S_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,intronChain_level_Pr,80.0
geneid_S_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,intronChain_level_Pr,80.0
CNAC_ref_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,intronChain_level_Pr,0.0
CNAC_ref_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,intronChain_level_Pr,0.0
CNAC_ref_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,intronChain_level_Pr,0.0
geneid_RS_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,intronChain_level_Pr,80.0
geneid_RS_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,intronChain_level_Pr,100.0
geneid_RS_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,intronChain_level_Pr,0.0
geneid_R_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,intronChain_level_Pr,66.7
geneid_R_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,intronChain_level_Pr,0.0
geneid_R_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,intronChain_level_Pr,100.0
geneid_RS_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,intronChain_level_Pr,80.0
geneid_R_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,intronChain_level_Pr,57.1
geneid_simple_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,intronChain_level_Pr,0.0
geneid_simple_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,intronChain_level_Pr,57.1
geneid_simple_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,intronChain_level_Pr,66.7
geneid_simple_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,intronChain_level_Pr,100.0
geneid_S_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,transcript_level_Se,6.6
geneid_S_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,transcript_level_Se,0.0
CNAC_ref_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,transcript_level_Se,0.0
geneid_S_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,transcript_level_Se,4.4
geneid_S_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,transcript_level_Se,4.4
CNAC_ref_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,transcript_level_Se,0.0
CNAC_ref_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,transcript_level_Se,0.0
CNAC_ref_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,transcript_level_Se,0.0
geneid_RS_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,transcript_level_Se,4.3
geneid_RS_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,transcript_level_Se,6.4
geneid_RS_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,transcript_level_Se,0.0
geneid_R_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,transcript_level_Se,4.6
geneid_R_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,transcript_level_Se,0.0
geneid_R_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,transcript_level_Se,5.7
geneid_RS_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,transcript_level_Se,4.3
geneid_R_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,transcript_level_Se,4.6
geneid_simple_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,transcript_level_Se,0.0
geneid_simple_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,transcript_level_Se,4.5
geneid_simple_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,transcript_level_Se,4.5
geneid_simple_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,transcript_level_Se,5.7
geneid_S_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,transcript_level_Pr,6.4
geneid_S_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,transcript_level_Pr,0.0
CNAC_ref_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,transcript_level_Pr,0.0
geneid_S_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,transcript_level_Pr,4.6
geneid_S_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,transcript_level_Pr,4.5
CNAC_ref_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,transcript_level_Pr,0.0
CNAC_ref_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,transcript_level_Pr,0.0
CNAC_ref_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,transcript_level_Pr,0.0
geneid_RS_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,transcript_level_Pr,4.5
geneid_RS_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,transcript_level_Pr,6.6
geneid_RS_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,transcript_level_Pr,0.0
geneid_R_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,transcript_level_Pr,4.4
geneid_R_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,transcript_level_Pr,0.0
geneid_R_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,transcript_level_Pr,5.7
geneid_RS_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,transcript_level_Pr,4.6
geneid_R_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,transcript_level_Pr,4.3
geneid_simple_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,transcript_level_Pr,0.0
geneid_simple_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,transcript_level_Pr,4.3
geneid_simple_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,transcript_level_Pr,4.4
geneid_simple_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,transcript_level_Pr,5.7
geneid_S_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,locus_level_Se,6.6
geneid_S_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,locus_level_Se,0.0
CNAC_ref_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,locus_level_Se,0.0
geneid_S_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,locus_level_Se,4.4
geneid_S_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,locus_level_Se,4.4
CNAC_ref_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,locus_level_Se,0.0
CNAC_ref_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,locus_level_Se,0.0
CNAC_ref_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,locus_level_Se,0.0
geneid_RS_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,locus_level_Se,4.3
geneid_RS_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,locus_level_Se,6.4
geneid_RS_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,locus_level_Se,0.0
geneid_R_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,locus_level_Se,4.6
geneid_R_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,locus_level_Se,0.0
geneid_R_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,locus_level_Se,5.7
geneid_RS_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,locus_level_Se,4.3
geneid_R_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,locus_level_Se,4.6
geneid_simple_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,locus_level_Se,0.0
geneid_simple_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,locus_level_Se,4.5
geneid_simple_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,locus_level_Se,4.5
geneid_simple_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,locus_level_Se,5.7
geneid_S_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,locus_level_Pr,6.4
geneid_S_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,locus_level_Pr,0.0
CNAC_ref_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,locus_level_Pr,0.0
geneid_S_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,locus_level_Pr,4.6
geneid_S_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,locus_level_Pr,4.5
CNAC_ref_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,locus_level_Pr,0.0
CNAC_ref_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,locus_level_Pr,0.0
CNAC_ref_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,locus_level_Pr,0.0
geneid_RS_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,locus_level_Pr,4.5
geneid_RS_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,locus_level_Pr,6.6
geneid_RS_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,locus_level_Pr,0.0
geneid_R_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,locus_level_Pr,4.4
geneid_R_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,locus_level_Pr,0.0
geneid_R_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,locus_level_Pr,5.7
geneid_RS_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,locus_level_Pr,4.6
geneid_R_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,locus_level_Pr,4.3
geneid_simple_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,locus_level_Pr,0.0
geneid_simple_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,locus_level_Pr,4.3
geneid_simple_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,locus_level_Pr,4.4
geneid_simple_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,locus_level_Pr,5.7
geneid_S_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,matching_intron_chains,6
geneid_S_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,matching_intron_chains,0
CNAC_ref_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,matching_intron_chains,0
geneid_S_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,matching_intron_chains,4
geneid_S_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,matching_intron_chains,4
CNAC_ref_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,matching_intron_chains,0
CNAC_ref_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,matching_intron_chains,0
CNAC_ref_longest_isoform_from200_to500_VS_geneid_RS_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,matching_intron_chains,0
geneid_RS_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,matching_intron_chains,4
geneid_RS_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,matching_intron_chains,6
geneid_RS_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,matching_intron_chains,0
geneid_R_longest_isoform_from200_to500_VS_geneid_S_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_S_longest_isoform_from200_to500,matching_intron_chains,4
geneid_R_longest_isoform_from200_to500_VS_CNAC_ref_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,CNAC_ref_longest_isoform_from200_to500,matching_intron_chains,0
geneid_R_longest_isoform_from200_to500_VS_geneid_simple_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,geneid_simple_longest_isoform_from200_to500,matching_intron_chains,5
geneid_RS_longest_isoform_from200_to500_VS_geneid_R_longest_isoform_from200_to500,geneid_RS_longest_isoform_from200_to500,geneid_R_longest_isoform_from200_to500,matching_intron_chains,4
